house,year,season,homebase,parent,director,director_years,director_previous_houses,newyork,paris,london,milan,met,employees_num,google_search_sentiment,fashion_magazine_sentiment
Hermes,2020,ss,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9892,0.089318,0.4706439394
Hermes,2019,fw,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9862,0.089318,0.5
Hermes,2019,ss,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9862,0.089318,0.25
Hermes,2018,fw,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9752,0.089318,0.125
Hermes,2018,ss,Paris,Independent,Nadège Vanhee-Cybulski,4,3,0,1,0,0,1,9752,0.19125,-0.08333333333
Celine,2024,fw,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9336,0.089318,0
Celine,2024,ss,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9336,0.089318,0
Celine,2023,fw,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9201,0.089318,0.05
Celine,2023,ss,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9201,0.089318,0
Celine,2022,fw,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9293,0.089318,0.05
Celine,2022,ss,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9293,0.089318,0
Celine,2021,fw,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9234,0.089318,0.05
Celine,2021,ss,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9234,0.089318,0
Celine,2020,fw,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9892,0.089318,0.05
Celine,2020,ss,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9892,0.089318,0
Celine,2019,fw,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9862,0.089318,0
Celine,2019,ss,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9862,0.089318,0
Celine,2018,fw,Paris,LVMH,Hedi Slimane,21,2,0,1,0,0,1,9752,0.089318,0
Celine,2018,ss,Paris,LVMH,Phoebe Philo,18,1,0,1,0,0,1,9752,0.19125,0
Maison Margiela,2024,fw,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9336,0.089318,0
Maison Margiela,2024,ss,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9336,0.089318,0
Maison Margiela,2023,fw,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9201,0.089318,0
Maison Margiela,2023,ss,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9201,0.089318,0
Maison Margiela,2022,fw,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9293,0.089318,0.25
Maison Margiela,2022,ss,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9293,0.089318,-0.1
Maison Margiela,2021,fw,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9234,0.089318,0
Maison Margiela,2021,ss,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9234,0.089318,0
Maison Margiela,2020,fw,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9892,0.089318,0.05
Maison Margiela,2020,ss,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9892,0.089318,0.5
Maison Margiela,2019,fw,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9862,0.089318,0.3
Maison Margiela,2019,ss,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9862,0.089318,0.65
Maison Margiela,2018,fw,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9752,0.089318,0.4166666667
Maison Margiela,2018,ss,Paris,OTB,John Galliano,31,3,0,1,0,0,1,9752,0.19125,0.25
Versace,2024,fw,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9336,0.089318,0
Versace,2024,ss,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9336,0.089318,0.08522727273
Versace,2023,fw,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9201,0.089318,125
Versace,2023,ss,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9201,0.089318,0.2666666667
Versace,2022,fw,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9293,0.089318,0
Versace,2022,ss,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9293,0.089318,0.08522727273
Versace,2021,fw,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9234,0.089318,0
Versace,2021,ss,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9234,0.089318,0.2666666667
Versace,2020,fw,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9892,0.089318,0.06818181818
Versace,2020,ss,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9892,0.089318,0
Versace,2019,fw,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9862,0.089318,0
Versace,2019,ss,Milan,Capri Holdings,Donatella Versace,38,0,0,0,0,1,1,9862,0.089318,0.1277777778
Versace,2018,fw,Milan,Independent,Donatella Versace,38,0,0,0,0,1,1,9752,0.089318,0
Versace,2018,ss,Milan,Independent,Donatella Versace,38,0,0,0,0,1,1,9752,0.19125,0
